Feature,Importance
resnet_349,0.0005122171
resnet_259,0.0005097052
yolo_158,0.0005066405
yolo_62,0.000506382
resnet_451,0.0005016502
resnet_203,0.0004995906
yolo_174,0.00048779737
resnet_236,0.00048022348
yolo_4,0.00047986224
yolo_57,0.0004798189
yolo_55,0.00047370745
resnet_346,0.00046832807
resnet_34,0.00046481963
resnet_2,0.00045922375
resnet_431,0.00045889942
resnet_252,0.00045873065
yolo_226,0.0004575869
resnet_91,0.0004538891
resnet_366,0.00044659904
resnet_206,0.00043743587
yolo_128,0.00043439347
yolo_230,0.00043238635
yolo_63,0.00042985953
yolo_121,0.00042497585
resnet_139,0.00042354467
yolo_67,0.0004227379
resnet_226,0.0004194088
yolo_69,0.00041901975
laplacian_var,0.00041461483
yolo_239,0.0004089546
resnet_183,0.00040491522
resnet_149,0.000403579
yolo_34,0.0004021246
yolo_202,0.00039891765
resnet_96,0.00039765306
yolo_155,0.00038670978
resnet_198,0.00038617002
yolo_6,0.00038585986
resnet_479,0.00038416137
yolo_115,0.0003820642
resnet_501,0.00038146845
resnet_155,0.00037991634
yolo_199,0.00037438257
resnet_215,0.00036834987
yolo_53,0.00036758356
yolo_131,0.000361702
resnet_276,0.00035979805
yolo_60,0.00035932663
yolo_243,0.00035645658
resnet_505,0.00035095811
resnet_483,0.0003266253
yolo_23,0.00032460564
yolo_224,0.00032206083
yolo_203,0.00031633122
resnet_275,0.00031598567
yolo_28,0.00030968318
yolo_61,0.00030946438
yolo_112,0.0003064013
resnet_165,0.00030068005
yolo_96,0.0002897738
yolo_50,0.0002883486
resnet_121,0.00028814346
yolo_132,0.00028179382
resnet_38,0.00028132103
yolo_163,0.0002714475
yolo_68,0.00026282354
yolo_44,0.0002569307
yolo_201,0.0002501546
resnet_255,0.00023264131
resnet_348,0.00021853147
resnet_503,0.00021160672
yolo_165,0.00020480479
yolo_195,0.0002033844
yolo_159,0.00019625803
bright_ratio,0.00019420854
resnet_508,0.00018330652
yolo_212,0.00016925448
yolo_98,0.0001619932
yolo_209,0.0001584942
yolo_83,0.00014357376
yolo_157,0.00014354607
yolo_65,0.00014343025
yolo_14,0.00013140013
resnet_493,0.00012975161
yolo_227,0.00012968457
yolo_172,0.00010658478
yolo_217,9.470717e-05
yolo_108,3.9333045e-05
yolo_10,0.0
l_std,0.0
contrast,0.0
